symbol,train_total_return,train_profit_factor,train_payoff_ratio,train_win_rate,train_total_trades,train_max_drawdown,train_avg_hold_hours,train_max_loss_streak,train_hit_27pct_stop,train_pnl_share_from_gt5x,train_near_liq_trades,train_gt5x_trade_pct,train_status,valid_total_return,valid_profit_factor,valid_payoff_ratio,valid_win_rate,valid_total_trades,valid_max_drawdown,valid_avg_hold_hours,valid_max_loss_streak,valid_hit_27pct_stop,valid_pnl_share_from_gt5x,valid_near_liq_trades,valid_gt5x_trade_pct,valid_status,fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,shared_params,pass_fail,fail_reasons
ADA-USDT-SWAP,0.10080119594817948,1.794168941933176,1.794168941933176,0.5,46,0.019931510508674,5.565217391304348,4,0,0.0,0,0.0,passed,0.038199999582062674,1.5602394714613776,1.6902594274164924,0.48,25,0.025221785929652067,7.52,4,0,0.0,0,0.0,passed,10,80,60,1.5,2.0,24,14,True,failed,valid_drawdown_above_train_multiple
APT-USDT-SWAP,-0.14280652252441622,0.8672779496752672,1.5788906263318965,0.35454545454545455,330,0.22173702147645438,8.9,9,0,0.02715484654188203,0,0.012121212121212121,passed,-0.08759124792710377,0.7773035615516275,1.4029381354834252,0.3565217391304348,115,0.11841356227400525,9.11304347826087,9,0,0.0,0,0.008695652173913044,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
ARB-USDT-SWAP,-0.11784809762896661,0.842732164547964,1.4647487621905089,0.3652173913043478,230,0.19170122155637054,7.908695652173913,10,0,0.03956275785808845,0,0.013043478260869565,passed,-0.003859153811679866,0.970123771328478,1.8016584324671734,0.35,40,0.033196894041230926,8.575,5,0,0.0,0,0.0,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
ATOM-USDT-SWAP,-0.1850828731911355,0.8395081170648466,1.3775027554655583,0.37866666666666665,375,0.2571967100807732,8.890666666666666,10,0,0.026078046853805225,0,0.02666666666666667,passed,-0.19566213405472732,0.5355364962645299,1.2886346941365252,0.29357798165137616,109,0.19219625394724765,8.26605504587156,10,0,0.0,0,0.009174311926605505,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
AVAX-USDT-SWAP,-0.0766758653270585,0.9394717833891794,1.4209510723761336,0.39800995024875624,402,0.17834865962302948,8.41542288557214,11,0,0.006521673413737054,0,0.004975124378109453,passed,-0.08062921605669195,0.8154193514993534,1.4181206113032232,0.36507936507936506,126,0.13647268581118782,8.626984126984127,11,0,0.0199136217791786,0,0.023809523809523808,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
BCH-USDT-SWAP,-0.19600232235853826,0.809153080248869,1.4468754231568757,0.3586626139817629,329,0.22769958479975036,7.696048632218845,10,0,0.060237230782818285,0,0.03951367781155015,passed,-0.14633093889960094,0.6574458203226072,1.4748108942372,0.30833333333333335,120,0.17845985399059847,6.466666666666667,16,0,0.05778134699663034,0,0.03333333333333333,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
BTC-USDT-SWAP,-0.1435651042252331,0.8716826057399728,1.3507753356123242,0.39221556886227543,334,0.19803737276710132,8.137724550898204,9,0,0.10120620789169828,0,0.10179640718562874,passed,-0.1303803516084235,0.725009913928126,1.3266138850599754,0.3533834586466165,133,0.18039975332656624,8.31578947368421,8,0,0.2768608040139091,0,0.3007518796992481,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05,gt5x_trade_dependency"
DOGE-USDT-SWAP,0.11670996265061624,2.0678795085740824,1.7981560944122454,0.5348837209302325,43,0.0186268139422764,5.186046511627907,3,0,0.0,0,0.0,passed,0.0341997894154405,7.100232570459782,1.4200465140919565,0.8333333333333334,6,0.005554077339761693,5.5,1,0,0.0,0,0.0,passed,10,80,60,1.5,2.0,24,14,True,failed,valid_trade_count_below_15
DOT-USDT-SWAP,-0.2723492764384927,0.5898812862583173,1.3693672716710936,0.3010752688172043,186,0.27287281019561743,8.301075268817204,16,1,0.08116007269643989,0,0.026881720430107527,passed,-0.16481636716665898,0.6274275210368032,1.4753025494649157,0.29838709677419356,124,0.1701736295240885,8.838709677419354,12,0,0.0,0,0.008064516129032258,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
ETC-USDT-SWAP,-0.1892099407638896,0.7466939666899498,1.4442633303081924,0.34080717488789236,223,0.2195689490343974,7.058295964125561,11,0,0.0,0,0.0,passed,-0.039190986051807875,0.7292028405854498,1.5144982073697804,0.325,40,0.06130828033968619,9.125,11,0,0.040238237965534114,0,0.025,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
ETH-USDT-SWAP,-0.19371386016853162,0.821492091391737,1.4261102706560551,0.3654970760233918,342,0.25565900398811997,7.970760233918129,11,0,0.03793294928254429,0,0.014619883040935672,passed,-0.021136247882268984,0.9522488884381467,1.5077274066937323,0.3870967741935484,124,0.15008530788967853,9.120967741935484,11,0,0.1349496963966294,0,0.12096774193548387,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
FIL-USDT-SWAP,0.06756373170234672,1.0638934112590592,1.5876563214173656,0.4012345679012346,324,0.1138361122563526,8.419753086419753,10,0,0.07249822148922723,0,0.04938271604938271,passed,-0.11098170568314376,0.718789336072575,1.6912690260531178,0.2982456140350877,114,0.12666442514080573,8.008771929824562,7,0,0.0,0,0.008771929824561403,passed,10,80,60,1.5,2.0,24,14,True,failed,"valid_return_not_positive,valid_profit_factor_below_1_05"
LINK-USDT-SWAP,-0.23236072387300227,0.7997627642304352,1.5343596735976497,0.3426395939086294,394,0.27517330174895316,8.50761421319797,11,0,0.0,0,0.0,passed,-0.0723268833108082,0.838229371958794,1.4395678344509721,0.368,125,0.13158285495332905,8.696,9,0,0.0,0,0.048,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
LTC-USDT-SWAP,-0.2721583996435588,0.6349527828258991,1.3307914489364734,0.3230088495575221,226,0.2683736202040452,8.91150442477876,12,1,0.0,0,0.008849557522123894,passed,-0.20993453014712496,0.5423751823262855,1.317196871363836,0.2916666666666667,120,0.22661960776147289,7.6,9,0,0.06600036426798647,0,0.041666666666666664,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05,valid_drawdown_above_20pct"
NEAR-USDT-SWAP,-0.020300272066675958,0.9737077780048526,1.5622124789967966,0.38396624472573837,237,0.06846374153082091,8.185654008438819,9,0,0.009792136921166763,0,0.004219409282700422,passed,-0.04230886342352562,0.8412491481066982,1.4111276032757518,0.37349397590361444,83,0.07746220017814684,9.951807228915662,8,0,0.0,0,0.0,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
OP-USDT-SWAP,-0.07567795646078657,0.9395351737472053,1.6303698603260326,0.3655913978494624,372,0.2343879447486255,8.424731182795698,11,0,0.007821956604632512,0,0.016129032258064516,passed,-0.009412258650222391,0.9758909685952198,1.4742182717076726,0.3983050847457627,118,0.07702542351269721,8.14406779661017,9,0,0.021002968677956313,0,0.00847457627118644,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
SOL-USDT-SWAP,-0.167992080108314,0.8629112235771302,1.4734062388970048,0.3693467336683417,398,0.21909934884068313,8.306532663316583,15,0,0.0,0,0.005025125628140704,passed,-0.07005214248498852,0.8309244066064451,1.3848740110107418,0.375,128,0.11193961264581138,10.078125,10,0,0.11220659080648063,0,0.0546875,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
TRX-USDT-SWAP,0.009781351760396026,inf,inf,1.0,1,0.0,1.0,0,0,0.0,0,0.0,passed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,failed_no_trades,10,80,60,1.5,2.0,24,14,True,failed,"valid_return_not_positive,valid_profit_factor_below_1_05,valid_payoff_below_1_20,valid_trade_count_below_15"
UNI-USDT-SWAP,-0.11984729740189463,0.8899651682886025,1.4461933984689792,0.38095238095238093,357,0.2146238500605304,8.53501400560224,9,0,0.016710872380342797,0,0.014005602240896359,passed,-0.10485590015278554,0.7518000831339869,1.39620015439169,0.35,120,0.13993148554328713,9.058333333333334,9,0,0.024659061049728443,0,0.025,passed,10,80,60,1.5,2.0,24,14,True,failed,"train_return_not_positive,valid_return_not_positive,valid_profit_factor_below_1_05"
XRP-USDT-SWAP,0.01824721789074205,1.0460105033354505,1.5462763962350137,0.40350877192982454,114,0.06100036748507608,6.0,8,0,0.0,0,0.0,passed,0.033206657607021864,1.157953326635722,1.266511451007821,0.47761194029850745,67,0.05711042910472309,8.313432835820896,6,0,0.17011001261275718,0,0.1044776119402985,passed,10,80,60,1.5,2.0,24,14,True,passed,
